chapter_folder,word_number,type,english,french,relative_path
01_Greetings_Politeness_Meeting_People,766,word,Miss,mademoiselle,01_Greetings_Politeness_Meeting_People/766_miss.m4a
01_Greetings_Politeness_Meeting_People,766,sentence1,"Good morning, Miss Dubois.","Bonjour, mademoiselle Dubois.",01_Greetings_Politeness_Meeting_People/766_miss_ex1.m4a
01_Greetings_Politeness_Meeting_People,766,sentence2,"Excuse me, miss, may I help you?","Excusez-moi, mademoiselle, puis-je vous aider ?",01_Greetings_Politeness_Meeting_People/766_miss_ex2.m4a
02_Pronouns_Articles_Etre,1,word,I,je,02_Pronouns_Articles_Etre/001_i.m4a
02_Pronouns_Articles_Etre,1,sentence1,I am happy today.,Je suis heureux aujourd'hui.,02_Pronouns_Articles_Etre/001_i_ex1.m4a
02_Pronouns_Articles_Etre,1,sentence2,I live in a small house.,J'habite dans une petite maison.,02_Pronouns_Articles_Etre/001_i_ex2.m4a
02_Pronouns_Articles_Etre,2,word,you,tu / vous,02_Pronouns_Articles_Etre/002_you.m4a
02_Pronouns_Articles_Etre,2,sentence1,You are my best friend.,Tu es mon meilleur ami.,02_Pronouns_Articles_Etre/002_you_ex1.m4a
02_Pronouns_Articles_Etre,2,sentence2,You look tired today.,Tu as l'air fatigué aujourd'hui.,02_Pronouns_Articles_Etre/002_you_ex2.m4a
02_Pronouns_Articles_Etre,3,word,he,il,02_Pronouns_Articles_Etre/003_he.m4a
02_Pronouns_Articles_Etre,3,sentence1,He is a doctor.,Il est médecin.,02_Pronouns_Articles_Etre/003_he_ex1.m4a
02_Pronouns_Articles_Etre,3,sentence2,He works every day.,Il travaille tous les jours.,02_Pronouns_Articles_Etre/003_he_ex2.m4a
02_Pronouns_Articles_Etre,4,word,she,elle,02_Pronouns_Articles_Etre/004_she.m4a
02_Pronouns_Articles_Etre,4,sentence1,She is a teacher.,Elle est professeure.,02_Pronouns_Articles_Etre/004_she_ex1.m4a
02_Pronouns_Articles_Etre,4,sentence2,She sings very well.,Elle chante très bien.,02_Pronouns_Articles_Etre/004_she_ex2.m4a
02_Pronouns_Articles_Etre,5,word,it,il / elle (ça),02_Pronouns_Articles_Etre/005_it.m4a
02_Pronouns_Articles_Etre,5,sentence1,It is raining outside.,Il pleut dehors.,02_Pronouns_Articles_Etre/005_it_ex1.m4a
02_Pronouns_Articles_Etre,5,sentence2,It is a good idea.,C'est une bonne idée.,02_Pronouns_Articles_Etre/005_it_ex2.m4a
02_Pronouns_Articles_Etre,6,word,we,nous,02_Pronouns_Articles_Etre/006_we.m4a
02_Pronouns_Articles_Etre,6,sentence1,We are friends.,Nous sommes amis.,02_Pronouns_Articles_Etre/006_we_ex1.m4a
02_Pronouns_Articles_Etre,6,sentence2,We live in the same city.,Nous habitons dans la même ville.,02_Pronouns_Articles_Etre/006_we_ex2.m4a
02_Pronouns_Articles_Etre,7,word,they,ils / elles,02_Pronouns_Articles_Etre/007_they.m4a
02_Pronouns_Articles_Etre,7,sentence1,They are students.,Ils sont étudiants.,02_Pronouns_Articles_Etre/007_they_ex1.m4a
02_Pronouns_Articles_Etre,7,sentence2,They live in a small village.,Ils habitent dans un petit village.,02_Pronouns_Articles_Etre/007_they_ex2.m4a
02_Pronouns_Articles_Etre,8,word,me,moi,02_Pronouns_Articles_Etre/008_me.m4a
02_Pronouns_Articles_Etre,8,sentence1,"Give me the book, please.","Donne-moi le livre, s'il te plaît.",02_Pronouns_Articles_Etre/008_me_ex1.m4a
02_Pronouns_Articles_Etre,8,sentence2,She called me yesterday.,Elle m'a appelé hier.,02_Pronouns_Articles_Etre/008_me_ex2.m4a
02_Pronouns_Articles_Etre,9,word,him,lui,02_Pronouns_Articles_Etre/009_him.m4a
02_Pronouns_Articles_Etre,9,sentence1,I saw him at the store.,Je l'ai vu au magasin.,02_Pronouns_Articles_Etre/009_him_ex1.m4a
02_Pronouns_Articles_Etre,9,sentence2,She gave him a present.,Elle lui a donné un cadeau.,02_Pronouns_Articles_Etre/009_him_ex2.m4a
02_Pronouns_Articles_Etre,10,word,her,elle / la,02_Pronouns_Articles_Etre/010_her.m4a
02_Pronouns_Articles_Etre,10,sentence1,I saw her at school.,Je l'ai vue à l'école.,02_Pronouns_Articles_Etre/010_her_ex1.m4a
02_Pronouns_Articles_Etre,10,sentence2,He gave her a book.,Il lui a donné un livre.,02_Pronouns_Articles_Etre/010_her_ex2.m4a
02_Pronouns_Articles_Etre,11,word,us,nous,02_Pronouns_Articles_Etre/011_us.m4a
02_Pronouns_Articles_Etre,11,sentence1,They invited us to dinner.,Ils nous ont invités à dîner.,02_Pronouns_Articles_Etre/011_us_ex1.m4a
02_Pronouns_Articles_Etre,11,sentence2,She helped us with the project.,Elle nous a aidés avec le projet.,02_Pronouns_Articles_Etre/011_us_ex2.m4a
02_Pronouns_Articles_Etre,12,word,them,eux / elles,02_Pronouns_Articles_Etre/012_them.m4a
02_Pronouns_Articles_Etre,12,sentence1,I saw them at the market.,Je les ai vus au marché.,02_Pronouns_Articles_Etre/012_them_ex1.m4a
02_Pronouns_Articles_Etre,12,sentence2,We invited them to the party.,Nous les avons invités à la fête.,02_Pronouns_Articles_Etre/012_them_ex2.m4a
02_Pronouns_Articles_Etre,13,word,my,mon / ma / mes,02_Pronouns_Articles_Etre/013_my.m4a
02_Pronouns_Articles_Etre,13,sentence1,This is my house.,C'est ma maison.,02_Pronouns_Articles_Etre/013_my_ex1.m4a
02_Pronouns_Articles_Etre,13,sentence2,My brother lives in Paris.,Mon frère habite à Paris.,02_Pronouns_Articles_Etre/013_my_ex2.m4a
02_Pronouns_Articles_Etre,14,word,your,ton / ta / tes,02_Pronouns_Articles_Etre/014_your.m4a
02_Pronouns_Articles_Etre,14,sentence1,What is your name?,Quel est ton nom ?,02_Pronouns_Articles_Etre/014_your_ex1.m4a
02_Pronouns_Articles_Etre,14,sentence2,Your house is beautiful.,Ta maison est belle.,02_Pronouns_Articles_Etre/014_your_ex2.m4a
02_Pronouns_Articles_Etre,15,word,his,son / sa / ses,02_Pronouns_Articles_Etre/015_his.m4a
02_Pronouns_Articles_Etre,15,sentence1,This is his car.,C'est sa voiture.,02_Pronouns_Articles_Etre/015_his_ex1.m4a
02_Pronouns_Articles_Etre,15,sentence2,His brother is a doctor.,Son frère est médecin.,02_Pronouns_Articles_Etre/015_his_ex2.m4a
02_Pronouns_Articles_Etre,16,word,its,son / sa / ses,02_Pronouns_Articles_Etre/016_its.m4a
02_Pronouns_Articles_Etre,16,sentence1,The dog wagged its tail.,Le chien a remué sa queue.,02_Pronouns_Articles_Etre/016_its_ex1.m4a
02_Pronouns_Articles_Etre,16,sentence2,The company changed its policy.,L'entreprise a changé sa politique.,02_Pronouns_Articles_Etre/016_its_ex2.m4a
02_Pronouns_Articles_Etre,17,word,our,notre / nos,02_Pronouns_Articles_Etre/017_our.m4a
02_Pronouns_Articles_Etre,17,sentence1,This is our house.,C'est notre maison.,02_Pronouns_Articles_Etre/017_our_ex1.m4a
02_Pronouns_Articles_Etre,17,sentence2,Our teacher is very kind.,Notre professeur est très gentil.,02_Pronouns_Articles_Etre/017_our_ex2.m4a
02_Pronouns_Articles_Etre,18,word,their,leur / leurs,02_Pronouns_Articles_Etre/018_their.m4a
02_Pronouns_Articles_Etre,18,sentence1,This is their house.,C'est leur maison.,02_Pronouns_Articles_Etre/018_their_ex1.m4a
02_Pronouns_Articles_Etre,18,sentence2,Their teacher is very strict.,Leur professeur est très strict.,02_Pronouns_Articles_Etre/018_their_ex2.m4a
02_Pronouns_Articles_Etre,19,word,this,ce / cette,02_Pronouns_Articles_Etre/019_this.m4a
02_Pronouns_Articles_Etre,19,sentence1,This is my house.,Ceci est ma maison.,02_Pronouns_Articles_Etre/019_this_ex1.m4a
02_Pronouns_Articles_Etre,19,sentence2,This book is interesting.,Ce livre est intéressant.,02_Pronouns_Articles_Etre/019_this_ex2.m4a
02_Pronouns_Articles_Etre,20,word,that,ce / cette / cela,02_Pronouns_Articles_Etre/020_that.m4a
02_Pronouns_Articles_Etre,20,sentence1,That is my car.,C'est ma voiture.,02_Pronouns_Articles_Etre/020_that_ex1.m4a
02_Pronouns_Articles_Etre,20,sentence2,That book was very interesting.,Ce livre-là était très intéressant.,02_Pronouns_Articles_Etre/020_that_ex2.m4a
02_Pronouns_Articles_Etre,21,word,these,ces,02_Pronouns_Articles_Etre/021_these.m4a
02_Pronouns_Articles_Etre,21,sentence1,These books are mine.,Ces livres sont à moi.,02_Pronouns_Articles_Etre/021_these_ex1.m4a
02_Pronouns_Articles_Etre,21,sentence2,These shoes are too small.,Ces chaussures sont trop petites.,02_Pronouns_Articles_Etre/021_these_ex2.m4a
02_Pronouns_Articles_Etre,22,word,those,ces (là),02_Pronouns_Articles_Etre/022_those.m4a
02_Pronouns_Articles_Etre,22,sentence1,Those houses are old.,Ces maisons-là sont vieilles.,02_Pronouns_Articles_Etre/022_those_ex1.m4a
02_Pronouns_Articles_Etre,22,sentence2,I remember those days.,Je me souviens de ces jours-là.,02_Pronouns_Articles_Etre/022_those_ex2.m4a
02_Pronouns_Articles_Etre,23,word,who,qui,02_Pronouns_Articles_Etre/023_who.m4a
02_Pronouns_Articles_Etre,23,sentence1,Who is that man?,Qui est cet homme ?,02_Pronouns_Articles_Etre/023_who_ex1.m4a
02_Pronouns_Articles_Etre,23,sentence2,Who called you yesterday?,Qui t'a appelé hier ?,02_Pronouns_Articles_Etre/023_who_ex2.m4a
02_Pronouns_Articles_Etre,24,word,what,quoi / que,02_Pronouns_Articles_Etre/024_what.m4a
02_Pronouns_Articles_Etre,24,sentence1,What is your name?,Comment tu t'appelles ?,02_Pronouns_Articles_Etre/024_what_ex1.m4a
02_Pronouns_Articles_Etre,24,sentence2,What do you want?,Que veux-tu ?,02_Pronouns_Articles_Etre/024_what_ex2.m4a
02_Pronouns_Articles_Etre,25,word,which,quel / lequel,02_Pronouns_Articles_Etre/025_which.m4a
02_Pronouns_Articles_Etre,25,sentence1,Which book do you prefer?,Quel livre préfères-tu ?,02_Pronouns_Articles_Etre/025_which_ex1.m4a
02_Pronouns_Articles_Etre,25,sentence2,Which one is yours?,Lequel est le tien ?,02_Pronouns_Articles_Etre/025_which_ex2.m4a
02_Pronouns_Articles_Etre,26,word,whose,à qui / dont,02_Pronouns_Articles_Etre/026_whose.m4a
02_Pronouns_Articles_Etre,26,sentence1,Whose book is this?,À qui est ce livre ?,02_Pronouns_Articles_Etre/026_whose_ex1.m4a
02_Pronouns_Articles_Etre,26,sentence2,Whose car is parked outside?,À qui est la voiture garée dehors ?,02_Pronouns_Articles_Etre/026_whose_ex2.m4a
02_Pronouns_Articles_Etre,27,word,someone,quelqu'un,02_Pronouns_Articles_Etre/027_someone.m4a
02_Pronouns_Articles_Etre,27,sentence1,Someone called you this morning.,Quelqu'un t'a appelé ce matin.,02_Pronouns_Articles_Etre/027_someone_ex1.m4a
02_Pronouns_Articles_Etre,27,sentence2,I need someone to help me.,J'ai besoin de quelqu'un pour m'aider.,02_Pronouns_Articles_Etre/027_someone_ex2.m4a
02_Pronouns_Articles_Etre,28,word,something,quelque chose,02_Pronouns_Articles_Etre/028_something.m4a
02_Pronouns_Articles_Etre,28,sentence1,I have something for you.,J'ai quelque chose pour toi.,02_Pronouns_Articles_Etre/028_something_ex1.m4a
02_Pronouns_Articles_Etre,28,sentence2,Something smells good.,Quelque chose sent bon.,02_Pronouns_Articles_Etre/028_something_ex2.m4a
02_Pronouns_Articles_Etre,29,word,anyone,n'importe qui,02_Pronouns_Articles_Etre/029_anyone.m4a
02_Pronouns_Articles_Etre,29,sentence1,Anyone can learn French.,N'importe qui peut apprendre le français.,02_Pronouns_Articles_Etre/029_anyone_ex1.m4a
02_Pronouns_Articles_Etre,29,sentence2,Is anyone home?,Y a-t-il quelqu'un à la maison ?,02_Pronouns_Articles_Etre/029_anyone_ex2.m4a
02_Pronouns_Articles_Etre,30,word,anything,n'importe quoi,02_Pronouns_Articles_Etre/030_anything.m4a
02_Pronouns_Articles_Etre,30,sentence1,You can ask me anything.,Tu peux me demander n'importe quoi.,02_Pronouns_Articles_Etre/030_anything_ex1.m4a
02_Pronouns_Articles_Etre,30,sentence2,I don't need anything right now.,Je n'ai besoin de rien pour le moment.,02_Pronouns_Articles_Etre/030_anything_ex2.m4a
02_Pronouns_Articles_Etre,31,word,everyone,tout le monde,02_Pronouns_Articles_Etre/031_everyone.m4a
02_Pronouns_Articles_Etre,31,sentence1,Everyone is welcome here.,Tout le monde est le bienvenu ici.,02_Pronouns_Articles_Etre/031_everyone_ex1.m4a
02_Pronouns_Articles_Etre,31,sentence2,Everyone likes this song.,Tout le monde aime cette chanson.,02_Pronouns_Articles_Etre/031_everyone_ex2.m4a
02_Pronouns_Articles_Etre,32,word,everything,tout,02_Pronouns_Articles_Etre/032_everything.m4a
02_Pronouns_Articles_Etre,32,sentence1,Everything is fine.,Tout va bien.,02_Pronouns_Articles_Etre/032_everything_ex1.m4a
02_Pronouns_Articles_Etre,32,sentence2,I lost everything.,J'ai tout perdu.,02_Pronouns_Articles_Etre/032_everything_ex2.m4a
02_Pronouns_Articles_Etre,33,word,no one,personne,02_Pronouns_Articles_Etre/033_no_one.m4a
02_Pronouns_Articles_Etre,33,sentence1,No one answered the phone.,Personne n'a répondu au téléphone.,02_Pronouns_Articles_Etre/033_no_one_ex1.m4a
02_Pronouns_Articles_Etre,33,sentence2,No one knows the truth.,Personne ne connaît la vérité.,02_Pronouns_Articles_Etre/033_no_one_ex2.m4a
02_Pronouns_Articles_Etre,34,word,nothing,rien,02_Pronouns_Articles_Etre/034_nothing.m4a
02_Pronouns_Articles_Etre,34,sentence1,Nothing happened today.,Rien ne s'est passé aujourd'hui.,02_Pronouns_Articles_Etre/034_nothing_ex1.m4a
02_Pronouns_Articles_Etre,34,sentence2,There is nothing here.,Il n'y a rien ici.,02_Pronouns_Articles_Etre/034_nothing_ex2.m4a
02_Pronouns_Articles_Etre,35,word,each,chaque,02_Pronouns_Articles_Etre/035_each.m4a
02_Pronouns_Articles_Etre,35,sentence1,Each student has a book.,Chaque étudiant a un livre.,02_Pronouns_Articles_Etre/035_each_ex1.m4a
02_Pronouns_Articles_Etre,35,sentence2,I visit my mother each week.,Je rends visite à ma mère chaque semaine.,02_Pronouns_Articles_Etre/035_each_ex2.m4a
02_Pronouns_Articles_Etre,36,word,every,chaque,02_Pronouns_Articles_Etre/036_every.m4a
02_Pronouns_Articles_Etre,36,sentence1,I go to the gym every day.,Je vais à la salle de sport chaque jour.,02_Pronouns_Articles_Etre/036_every_ex1.m4a
02_Pronouns_Articles_Etre,36,sentence2,Every child needs love.,Chaque enfant a besoin d'amour.,02_Pronouns_Articles_Etre/036_every_ex2.m4a
02_Pronouns_Articles_Etre,37,word,all,tout / tous,02_Pronouns_Articles_Etre/037_all.m4a
02_Pronouns_Articles_Etre,37,sentence1,All the students arrived early.,Tous les étudiants sont arrivés tôt.,02_Pronouns_Articles_Etre/037_all_ex1.m4a
02_Pronouns_Articles_Etre,37,sentence2,I ate all the bread.,J'ai mangé tout le pain.,02_Pronouns_Articles_Etre/037_all_ex2.m4a
02_Pronouns_Articles_Etre,38,word,some,quelque(s),02_Pronouns_Articles_Etre/038_some.m4a
02_Pronouns_Articles_Etre,38,sentence1,I need some water.,J'ai besoin d'un peu d'eau.,02_Pronouns_Articles_Etre/038_some_ex1.m4a
02_Pronouns_Articles_Etre,38,sentence2,Some students arrived late.,Quelques étudiants sont arrivés en retard.,02_Pronouns_Articles_Etre/038_some_ex2.m4a
02_Pronouns_Articles_Etre,39,word,any,n'importe quel / aucun,02_Pronouns_Articles_Etre/039_any.m4a
02_Pronouns_Articles_Etre,39,sentence1,Do you have any questions?,As-tu des questions ?,02_Pronouns_Articles_Etre/039_any_ex1.m4a
02_Pronouns_Articles_Etre,39,sentence2,I don't have any money.,Je n'ai pas d'argent.,02_Pronouns_Articles_Etre/039_any_ex2.m4a
02_Pronouns_Articles_Etre,40,word,none,aucun,02_Pronouns_Articles_Etre/040_none.m4a
02_Pronouns_Articles_Etre,40,sentence1,None of the students answered.,Aucun des étudiants n'a répondu.,02_Pronouns_Articles_Etre/040_none_ex1.m4a
02_Pronouns_Articles_Etre,40,sentence2,None of this makes sense.,Rien de tout cela n'a de sens.,02_Pronouns_Articles_Etre/040_none_ex2.m4a
02_Pronouns_Articles_Etre,41,word,other,autre,02_Pronouns_Articles_Etre/041_other.m4a
02_Pronouns_Articles_Etre,41,sentence1,I have no other choice.,Je n'ai pas d'autre choix.,02_Pronouns_Articles_Etre/041_other_ex1.m4a
02_Pronouns_Articles_Etre,41,sentence2,The other students left early.,Les autres étudiants sont partis tôt.,02_Pronouns_Articles_Etre/041_other_ex2.m4a
02_Pronouns_Articles_Etre,42,word,another,un autre,02_Pronouns_Articles_Etre/042_another.m4a
02_Pronouns_Articles_Etre,42,sentence1,Can I have another coffee?,Puis-je avoir un autre café ?,02_Pronouns_Articles_Etre/042_another_ex1.m4a
02_Pronouns_Articles_Etre,42,sentence2,Let's try another approach.,Essayons une autre approche.,02_Pronouns_Articles_Etre/042_another_ex2.m4a
02_Pronouns_Articles_Etre,43,word,both,les deux,02_Pronouns_Articles_Etre/043_both.m4a
02_Pronouns_Articles_Etre,43,sentence1,Both of us agree.,Nous sommes d'accord tous les deux.,02_Pronouns_Articles_Etre/043_both_ex1.m4a
02_Pronouns_Articles_Etre,43,sentence2,I like both colors.,J'aime les deux couleurs.,02_Pronouns_Articles_Etre/043_both_ex2.m4a
02_Pronouns_Articles_Etre,44,word,either,l'un ou l'autre,02_Pronouns_Articles_Etre/044_either.m4a
02_Pronouns_Articles_Etre,44,sentence1,You can choose either option.,Tu peux choisir l'une ou l'autre option.,02_Pronouns_Articles_Etre/044_either_ex1.m4a
02_Pronouns_Articles_Etre,44,sentence2,I don't like either color.,Je n'aime ni l'une ni l'autre couleur.,02_Pronouns_Articles_Etre/044_either_ex2.m4a
02_Pronouns_Articles_Etre,45,word,neither,ni l'un ni l'autre,02_Pronouns_Articles_Etre/045_neither.m4a
02_Pronouns_Articles_Etre,45,sentence1,Neither of us knew the answer.,Ni l'un ni l'autre ne connaissait la réponse.,02_Pronouns_Articles_Etre/045_neither_ex1.m4a
02_Pronouns_Articles_Etre,45,sentence2,Neither option seems good.,Aucune des deux options ne semble bonne.,02_Pronouns_Articles_Etre/045_neither_ex2.m4a
02_Pronouns_Articles_Etre,46,word,many,beaucoup (de),02_Pronouns_Articles_Etre/046_many.m4a
02_Pronouns_Articles_Etre,46,sentence1,There are many people here.,Il y a beaucoup de gens ici.,02_Pronouns_Articles_Etre/046_many_ex1.m4a
02_Pronouns_Articles_Etre,46,sentence2,I have many friends.,J'ai beaucoup d'amis.,02_Pronouns_Articles_Etre/046_many_ex2.m4a
02_Pronouns_Articles_Etre,47,word,much,beaucoup (de),02_Pronouns_Articles_Etre/047_much.m4a
02_Pronouns_Articles_Etre,47,sentence1,I don't have much time.,Je n'ai pas beaucoup de temps.,02_Pronouns_Articles_Etre/047_much_ex1.m4a
02_Pronouns_Articles_Etre,47,sentence2,How much does this cost?,Combien ça coûte ?,02_Pronouns_Articles_Etre/047_much_ex2.m4a
02_Pronouns_Articles_Etre,48,word,few,peu (de),02_Pronouns_Articles_Etre/048_few.m4a
02_Pronouns_Articles_Etre,48,sentence1,I have a few friends here.,J'ai quelques amis ici.,02_Pronouns_Articles_Etre/048_few_ex1.m4a
02_Pronouns_Articles_Etre,48,sentence2,Few people understand this problem.,Peu de gens comprennent ce problème.,02_Pronouns_Articles_Etre/048_few_ex2.m4a
02_Pronouns_Articles_Etre,49,word,little,peu (de) / petit,02_Pronouns_Articles_Etre/049_little.m4a
02_Pronouns_Articles_Etre,49,sentence1,I have little time today.,J'ai peu de temps aujourd'hui.,02_Pronouns_Articles_Etre/049_little_ex1.m4a
02_Pronouns_Articles_Etre,49,sentence2,She speaks little English.,Elle parle peu anglais.,02_Pronouns_Articles_Etre/049_little_ex2.m4a
02_Pronouns_Articles_Etre,50,word,several,plusieurs,02_Pronouns_Articles_Etre/050_several.m4a
02_Pronouns_Articles_Etre,50,sentence1,I have several questions.,J'ai plusieurs questions.,02_Pronouns_Articles_Etre/050_several_ex1.m4a
02_Pronouns_Articles_Etre,50,sentence2,We visited several cities in France.,Nous avons visité plusieurs villes en France.,02_Pronouns_Articles_Etre/050_several_ex2.m4a
02_Pronouns_Articles_Etre,51,word,a,un / une,02_Pronouns_Articles_Etre/051_a.m4a
